[2026-08-04 11:39:38] [INFO    ] discord.client: logging in using static token
[2026-08-04 11:39:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-08-04 11:39:39] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-08-04 11:39:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1534135855130742885', 'username': 'LoomiBot', 'avatar': None, 'discriminator': '2898', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-08-04 11:39:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-08-04 11:39:39] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-08-04 11:39:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1534135855130742885', 'name': 'LoomiBot', 'icon': None, 'description': '', 'type': None, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot': {'id': '1534135855130742885', 'username': 'LoomiBot', 'avatar': None, 'discriminator': '2898', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'bot_public': False, 'bot_require_code_grant': False, 'integration_types_config': {'0': {}}, 'verify_key': '507b40135c6148c974608832d0a3bc298bc9abc951a047cd376e6480c47b2c48', 'flags': 565248, 'flags_new': '565248', 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '613290473620242453', 'username': 'filip5011', 'avatar': 'cf0752db480877b825a3babd724afe00', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 3039361, 'global_name': 'Filip5011', 'avatar_decoration_data': {'asset': 'a_1ffd338bf104b616ea5774244e46dbf6', 'sku_id': '1385050947834613820', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1495807265175900180', 'asset': 'nameplates/pitter_patter/1495807265175900180/', 'label': 'Drizzling rain pattering over a small pond', 'palette': 'forest'}}, 'display_name_styles': None, 'banner_color': '#2e6081', 'clan': {'identity_guild_id': '549360766600347658', 'identity_enabled': True, 'tag': 'LꚘMI', 'badge': '71d8b12a4ef3b27ab0fb6addbb8b6921'}, 'primary_guild': {'identity_guild_id': '549360766600347658', 'identity_enabled': True, 'tag': 'LꚘMI', 'badge': '71d8b12a4ef3b27ab0fb6addbb8b6921'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': False, 'integration_require_code_grant': False, 'private_channel_obfuscation_enabled': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2240, 'monetization_state': 1, 'verification_eligibility_flags': 123676, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets', 'eligible_oauth2_scopes': ['applications.builds.read', 'applications.commands', 'applications.commands.permissions.update', 'applications.entitlements', 'applications.store.update', 'bot', 'connections', 'email', 'gdm.join', 'guilds', 'guilds.join', 'guilds.members.read', 'identify', 'messages.read', 'openid', 'role_connections.write', 'rpc', 'rpc.activities.write', 'rpc.notifications.read', 'rpc.screenshare.read', 'rpc.screenshare.write', 'rpc.video.read', 'rpc.video.write', 'rpc.voice.read', 'rpc.voice.write', 'webhook.incoming']}
[2026-08-04 11:39:39] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-08-04 11:39:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-ksjd",{"micros":0.0}]']}}
[2026-08-04 11:39:39] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-08-04 11:39:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
